cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_0,060a7e7a-a771-4dcc-b1c6-b3146d55a1ba,CORNITOS SLICED JALAPENOS RETAIL JAR PEPPER Bottles Jars 180 Grams,sliced jalapenos retail pepper bottles jars,Prepared/Preserved Foods,"Prepared, Preserved Foods",Prepared
cluster_0,11d7f203-0fd3-4ebc-b8a5-77a7edeb3525,CORNITOS SLICED JALAPENOS 3. 1 KG TIN PEPPER Cans 3100 Grams,sliced jalapenos pepper cans,Prepared/Preserved Foods,"Prepared, Preserved Foods",Prepared
cluster_0,719b8a06-e39a-4814-9852-8c8c7d15f3b8,CORNITOS Burger Dill Gherkins Sliced Tin 3. 1 Kg Cans 3100 Grams,burger dill gherkins sliced cans,Prepared/Preserved Foods,"Prepared, Preserved Foods",Prepared
cluster_1,37174779-9de2-4f9c-a2d6-883c68b828a4,CORNITOS 6 Inch Corn Tortilla Wraps 360 Grams,tortilla wraps rams,Cereal/Grain/Pulse Products,"Cereal, Grain, Pulse Products",Cereal
cluster_1,508fb3fd-0f69-4035-bdbc-4aa2c66100be,CORNITOS 8 Inch Wheat Soft Tortilla Wraps 540 Grams,wheat soft tortilla wraps rams,Cereal/Grain/Pulse Products,"Cereal, Grain, Pulse Products",Cereal
cluster_1,79fa0087-a824-4d66-98d6-7df8c187499e,CORNITOS 10 Inch Whole Wheat Tortilla Wraps 840 Grams,whole wheat tortilla wraps rams,Cereal/Grain/Pulse Products,"Cereal, Grain, Pulse Products",Cereal
cluster_1,97ba1a25-416e-4066-9d6e-ef842ecb5d74,Cornitos 10 Inch Spinach Tortilla 840 Grams Tortilla Wraps,spinach tortilla tortilla wraps,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_1,ddafc6de-36f9-4046-92dc-9012fdb6c3a3,Cornitos 8 Inch Corn And Wheat Tortilla Wrap 270 Grams,and wheat tortilla wrap rams,Cereal/Grain/Pulse Products,"Cereal, Grain, Pulse Products",Cereal
cluster_2,8334ee30-ac14-499e-8488-ff0e29ae6d1c,CORNITOS RANCH CUCUMBER DIP Cheesy 100 Grams,ranch cucumber dip cheesy,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_2,86bf4e3d-df19-4752-89b2-632efe1f9676,CORNITOS Cheese Ranch Cucumber Dip X 12 Spread 3600 Grams,cheese ranch cucumber dip x spread,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_3,44941483-6870-4b33-bf22-da76d6ccf405,CORNITOS Falafel Kebab Wrap It Roll Kit 480 Grams,falafel kebab wrap it roll kit,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_3,62d5364b-cc42-4ec8-bad7-a4792262dcca,CORNITOS Shami Kebab Wrap It Roll Kit 270 Grams,shami kebab wrap it roll kit rams,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_3,f02be728-f74e-41d2-ae3d-7aa07c8b607c,CORNITOS Hara Bhara Kebab Wrap It Roll Kit 480 Grams,hara bhara kebab wrap it roll kit rams,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_4,5cff1b04-0055-4ab3-aac9-7602c04f9ba3,CORNITOS Cheese Dip Jalapeno 330 Grams,cheese dip jalapeno,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_4,6a000950-d938-4f38-a3a8-6982ae081a8e,CORNITOS Cheese Dip Jalapeno X 12 Spread 3600 Grams,cheese dip jalapeno x spread,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_5,3bd4c954-64f4-45a1-a1f0-7528ffefd7db,CORNITOS Chipotle Cheesy Dip 330 Grams,chipotle cheesy dip,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_5,da0ece81-d655-4bc0-8c74-a3fbba38ac02,CORNITOS Cheese Chipotle Dip X 12 Spread 3600 Grams,cheese chipotle dip x spread,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_6,67079e50-1c92-44ef-98e1-8638bfdea3ac,CORNITOS Mango Chunky Salsa 330g 330 Grams,mango chunky salsa,Desserts/Desserts Sauces/Toppings,"Desserts, Desserts Sauces, Toppings",Desserts
cluster_6,8a511d91-c2df-47e3-8178-2a8cc40e84be,Cornitos Chunky Salsa Mild 330 Grams,chunky salsa mild,Desserts/Desserts Sauces/Toppings,"Desserts, Desserts Sauces, Toppings",Desserts
cluster_7,7562a21b-e761-49ba-8ccb-ae78139f1ab4,CORNITOS Chunky Salsa Dip Hot 100 Grams,chunky salsa dip hot,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_7,76d797f7-7228-401b-897a-b4e883d1a08a,CORNITOS Chunky Salsa Dip Mild X 12 Pickle 3960 Grams,chunky salsa dip mild x pickle,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_7,c037f92f-022e-44f9-9271-0e54b1c7fba6,CORNITOS Chunky Salsa Dip Mild 100 Grams,chunky salsa dip mild,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
cluster_8,0df3d763-b036-4af5-8946-127fbd999e7d,CORNITOS Utsava-cgp011 750 Grams,utsava cgp011,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_8,1972a39e-57f2-447a-ac59-f103843b28a3,CORNITOS Utsava-cgp006 750 Grams,utsava cgp006,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_8,2a2fa712-cb07-4163-b19d-8e63f3fd503e,CORNITOS Utsava-cgp012 Set 650 Grams,utsava cgp012 set,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_8,925100b5-15bb-443f-abc4-f48beaf94f5c,CORNITOS Utsava-cgp014 440 Grams,utsava cgp014,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_8,c8bf4b64-a849-459d-85bf-a0dafbf024b4,CORNITOS Utsava-cgp005 700 Grams,utsava cgp005,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_8,d386bd14-3425-4d4e-a184-cdd2a0129dcc,CORNITOS Utsava-cgp013 Set 490 Grams,utsava cgp013 set,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_8,ff256e41-152b-4462-a9e2-4b74cf942041,CORNITOS Utsava-cgp007 750 Grams,utsava cgp007,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_9,a27576eb-a24a-4ece-8fda-8cca1d69ddc4,CORNITOS Coated Sunflower Seeds 30 Grams,coated sunflower seeds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_9,c3f0f773-07d3-4879-847f-acf010a347f0,Cornitos Sunflower Seeds And Pumpkin Combo 400 Grams,sunflower seeds and pumpkin combo,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_9,c6af1633-c0fa-4851-9559-eb7f5d97e44d,CORNITOS Sunflower Seeds 200 Grams,sunflower seeds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_10,0dd2c55c-488e-4587-8051-2e08ff0f16fb,CORNITOS Roasted Pumpkin Seeds 30 Grams,roasted pumpkin seeds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_10,5b2bdbe6-01c2-46a8-9b04-1bc7451b0b5d,CORNITOS Pumpkin Seeds Salted X 10 Roasted 2700 Grams,pumpkin seeds salted x roasted,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_10,c517ef7d-eb45-4fb1-9532-34f509b177df,CORNITOS Pumpkin Seeds 150 Grams,pumpkin seeds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_10,c6ab77f8-5e03-4ff1-81af-7613ed2e6665,CORNITOS Pumpkin Seed Box Roasted Seeds 270 Grams,pumpkin seed box roasted seeds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
cluster_11,389d775d-4dba-407e-b828-7c110ac1ccde,CORNITOS Chana Crusties Dilli Chaat 50g Bag 50 Grams,chana crusties dilli chaat rams,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_11,50f97f0e-e26f-4b0c-8816-784a2c8b2bfc,Cornitos Crusties Chana Snacks 18 Gm,crusties chana snacks,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_11,7cd7c7cd-780f-4a1d-88dc-c84d3c666253,CORNITOS Chana Crusties Cheesy Garlic 50g Bag 50 Grams,chana crusties cheesy garlic rams,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_12,3910542d-7b04-4e5f-8273-a7d71161439e,CORNITOS Rajma Crusties King Curry 50g Bag 50 Grams,rajma crusties king curry rams,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_12,8cf23ad3-d3f5-4b5e-8a74-54b7b5a88f1b,CORNITOS Rajma Crusties Lemon Chili 50g Bag 50 Grams,rajma crusties lemon chili rams,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_12,eca7cce7-2853-4618-935a-654089881c81,CORNITOS CRUSTIES RAJMA SNACKS 18 GM,crusties rajma snacks,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_13,2ccae89d-91ff-46b8-b2af-44574f815492,CORNITOS POP N CRUNCH PARTY MIX 25 GM,pop n crunch party mix,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_13,4bd7ece5-d36b-4d0e-8182-cd578378bbe6,Cornitos Party Mix 28 Grams,party mix,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_13,e807babf-af2b-4b7d-853d-07247308910c,CORNITOS POP N CRUNCH PUMPKIN SEEDS 22 GM,pop n crunch pumpkin seeds,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_14,4f0e92ce-375c-447a-a1a3-64177feeadca,CORNITOS Salted Peanuts 30 Grams,salted peanuts,Crunchy Snack,Crunchy Snack,Crunchy Snack
