brandSKUId,label,facets_jsonb,categoryLabel,normalized_name,core_identity,brand_extracted,categories_parsed,primary_category,cluster_id
0132751f-e7b3-4bbb-ba30-80727ccb83da,CORNITOS Peri X 18 BAKED AND FRIED CORN CHIPS 990 Grams,"{""tags"": [""corn chips"", ""peri peri"", ""baked"", ""fried"", ""family pack""], ""cuisine"": ""Mexican"", ""flavour"": ""Peri Peri"", ""texture"": ""Crispy"", ""brandName"": ""Cornitos"", ""netWeight"": ""990 Grams"", ""packetSize"": ""Family Pack"", ""spiceLevel"": ""Spicy"", ""productType"": ""Corn Chips"", ""packQuantity"": null, ""priceSegment"": ""Affordable"", ""keyIngredient"": ""Corn"", ""resealability"": ""Non-Resealable"", ""certifications"": ""FSSAI"", ""packagingShape"": ""Box"", ""specialFeature"": ""Baked and Fried"", ""marketingClaims"": ""Tasty and Healthy"", ""dietaryPreference"": ""Vegetarian"", ""packagingMaterial"": ""Cardboard"", ""servingSuggestion"": ""Snack"", ""targetDemographic"": ""Adults"", ""packagingTransparency"": ""Opaque""}",Sweets/Snacks,peri x baked and fried chips,peri x baked and fried chips | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,36
01622885-4c78-42d7-8802-e7a5f5f12075,Cornitos Nuts Delight Premium Edition Combo 800 Grams,"{""tags"": [""Nuts"", ""Healthy Snack"", ""Premium"", ""Combo Pack"", ""Cornitos""], ""type"": ""Nuts Combo"", ""scent"": ""Nutty"", ""texture"": ""Crunchy"", ""packSize"": ""N/A"", ""quantity"": ""Combo"", ""netWeight"": ""800 Grams"", ""packetSize"": ""Multi-Use"", ""properties"": [""resealability""], ""seasonalUse"": ""Anytime"", ""priceSegment"": ""Premium"", ""productBrand"": ""Cornitos"", ""sourceRegion"": ""N/A"", ""tasteProfile"": ""Savory"", ""varietyGrade"": ""Premium"", ""certification"": ""N/A"", ""packagingShape"": ""Box"", ""flavorSeasoning"": ""N/A"", ""marketingClaims"": ""Premium Quality"", ""preparationType"": ""N/A"", ""applicationMethod"": ""Snack"", ""packagingMaterial"": ""Cardboard"", ""servingSuggestion"": ""N/A"", ""targetDemographic"": ""General"", ""allergyInformation"": ""Contains Nuts""}",Dry Fruits/Seeds,nuts delight edition combo,nuts delight edition combo | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,28
01c79b34-7ec4-4218-b649-c6c7b5781a98,CORNITOS Cheese Jalapeno Almonds 200 Grams,"{""tags"": [""snack"", ""healthy"", ""spicy"", ""cheese flavor"", ""almonds""], ""type"": ""Almonds"", ""scent"": ""Savory"", ""texture"": ""Crunchy"", ""packSize"": ""N/A"", ""allergens"": ""Contains nuts"", ""netWeight"": ""200 Grams"", ""packetSize"": ""Single-Use"", ""seasonalUse"": ""Year-round"", ""servingSize"": ""30 Grams"", ""priceSegment"": ""Affordable"", ""productBrand"": ""CORNITOS"", ""sourceRegion"": ""N/A"", ""varietyGrade"": ""N/A"", ""dietaryOptions"": ""Gluten-free"", ""flavorSeasoning"": ""Cheese Jalapeno"", ""preparationType"": ""Roasted"", ""prepInstructions"": ""Ready to eat"", ""applicationMethod"": ""Snacking"", ""targetDemographic"": ""Health-conscious consumers"", ""nutritionalBenefits"": ""High in protein"", ""storageRecommendations"": ""Cool, dry place""}",Dry Fruits/Seeds,cheese jalapeno almonds,cheese jalapeno almonds | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,16
02fe3a74-242b-4cf5-ab76-930aff75be2f,Cornitos Peanuts Roasted Salted 500 Grams,"{""tags"": [""Peanuts"", ""Snacks"", ""Healthy"", ""Roasted""], ""brand"": ""Cornitos"", ""color"": ""Pink"", ""scent"": null, ""flavor"": ""Salted"", ""isVegan"": null, ""material"": ""Plastic"", ""warranty"": null, ""allergens"": [""Peanuts""], ""isOrganic"": null, ""packetSize"": ""Multi-Use/Family Pack"", ""properties"": [""❌ nut free"", ""gluten free"", ""resealability""], ""ingredients"": [""Peanuts"", ""Edible Vegetable Oil"", ""Edible Common Salt""], ""isDairyFree"": null, ""productName"": ""Cornitos Peanuts Roasted Salted 500 Grams"", ""servingSize"": ""28 grams"", ""suitableFor"": [""Health-conscious Consumers"", ""Snack Lovers""], ""priceSegment"": ""Premium"", ""isEcoFriendly"": null, ""packagingType"": ""Resealable Bag"", ""productVolume"": null, ""productWeight"": ""500 grams"", ""expirationDate"": null, ""packagingShape"": ""Pouch"", ""visualElements"": [""Colorful Packaging"", ""Logo"", ""Nutritional Facts"", ""Resealable Feature""], ""countryOfOrigin"": ""India"", ""productBenefits"": [""Source of Protein"", ""Source of Fiber"", ""Zero Cholesterol""], ""productCategory"": ""Dry Fruits/Seeds"", ""additionalFacets"": {}, ""marketingTagline"": ""Crunchy Nuts For An Active Lifestyle"", ""productDimensions"": ""20 cm x 28 cm x 5.5 cm"", ""usageInstructions"": ""Snack as needed."", ""caloriesPerServing"": ""181"", ""productSubCategory"": ""Peanuts"", ""dietaryRestrictions"": null, ""storageInstructions"": ""Store in a cool, dry place."", ""sustainabilityClaims"": null, ""nutritionalInformation"": [""Total Fat: 13g"", ""Saturated Fat: 1g"", ""Trans Fat: 0g"", ""Cholesterol: 0mg"", ""Sodium: 8mg"", ""Total Carbohydrates: 7g"", ""Dietary Fiber: 4g"", ""Sugars: 1g"", ""Protein: 7g""]}",Dry Fruits/Seeds,peanuts roasted salted,peanuts roasted salted | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,31
0353b2ed-530c-400d-bf4b-c9706183a41b,Cornitos Nuts And Raisins 40 Grams,"{""tags"": [""Cornitos"", ""Nuts"", ""Raisins"", ""Healthy Snack"", ""Crunchy""], ""type"": ""Nuts & Raisins"", ""scent"": null, ""nutType"": [""Cashews"", ""Almonds"", ""Raisins""], ""texture"": ""Crunchy"", ""packSize"": null, ""netWeight"": ""40 Grams"", ""packetSize"": ""Single-Use"", ""seasonalUse"": ""Any Season"", ""allergenInfo"": ""May contain tree nuts"", ""priceSegment"": ""Affordable"", ""productBrand"": ""Cornitos"", ""sourceRegion"": ""India"", ""tastingNotes"": ""Sweet and Nutty"", ""varietyGrade"": null, ""packagingType"": ""Resealable Bag"", ""certifications"": null, ""healthBenefits"": [""High Protein"", ""Rich in Fiber""], ""flavorSeasoning"": null, ""preparationType"": ""Natural"", ""productFeatures"": ""Healthy Snack"", ""applicationMethod"": ""Snacking"", ""targetDemographic"": ""Active Lifestyle"", ""usageInstructions"": ""Ready to Eat"", ""servingSuggestions"": ""Great for Trail Mix"", ""dietaryRestrictions"": ""Vegetarian""}",Dry Fruits/Seeds,nuts and raisins,nuts and raisins | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,23
0375b0a9-34ad-442d-ac74-1799a97c3ce0,CORNITOS Nut Mix 50 Grams,"{""tags"": [""Nut Mix"", ""Snack"", ""Crispy"", ""Vegetarian""], ""type"": ""Nut Mix"", ""scent"": null, ""texture"": ""Crispy"", ""packSize"": null, ""netWeight"": ""50 Grams"", ""packetSize"": ""Single-Use"", ""properties"": [""❌ imported"", ""contains nuts"", ""❌ certified organic""], ""seasonalUse"": ""Anytime"", ""priceSegment"": ""Affordable"", ""productBrand"": ""CORNITOS"", ""sourceRegion"": null, ""varietyGrade"": null, ""packagingType"": ""Bag"", ""expirationDate"": null, ""allergenWarning"": ""Contains Nuts"", ""flavorSeasoning"": null, ""preparationType"": null, ""applicationMethod"": ""Snack"", ""dietaryPreference"": ""Vegetarian"", ""servingSuggestion"": ""Snack Pack"", ""targetDemographic"": ""General""}",Dry Fruits/Seeds,nut mix,nut mix | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,30
03d7fd07-ef87-4936-9a5b-7d73754ad94c,CORNITOS Honey Roasted Almond And Salted Cashews Combo 400 Grams,"{""tag"": [""Snacks"", ""Healthy"", ""Nut Mix""], ""tags"": [""Snacks"", ""Healthy"", ""Nut Mix""], ""type"": ""Almonds, Cashews"", ""scent"": ""Nutty"", ""texture"": ""Crunchy"", ""packSize"": ""N/A"", ""netWeight"": ""400 Grams"", ""packetSize"": ""Multi-Use"", ""seasonalUse"": ""Anytime"", ""allergenInfo"": ""Contains Nuts"", ""healthClaims"": ""Protein-Rich"", ""priceSegment"": ""Affordable"", ""productBrand"": ""CORNITOS"", ""sourceRegion"": ""N/A"", ""varietyGrade"": ""N/A"", ""resealability"": ""N/A"", ""certifications"": ""N/A"", ""packagingShape"": ""Box"", ""flavorSeasoning"": ""Honey"", ""marketingClaims"": ""Party Snack"", ""preparationType"": ""Honey Roasted, Salted"", ""quantityPerPack"": ""1"", ""applicationMethod"": ""Snacking"", ""packagingMaterial"": ""Cardboard"", ""servingSuggestion"": ""N/A"", ""targetDemographic"": ""General Audience""}",Dry Fruits/Seeds,honey roasted almond and salted cashews combo,honey roasted almond and salted cashews combo | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,-1
0406f3e6-dc5d-4001-b682-0fcc6b0ebb45,CORNITOS Lime And Mint Nacho Crisps X 14 Baked Fried Corn Chips 980 Grams,"{""tags"": [""Cornitos"", ""Lime and Mint"", ""Chips"", ""Affordable"", ""Baked"", ""Fried"", ""Crispy""], ""color"": ""Green"", ""scent"": ""Minty"", ""flavour"": ""Lime and Mint"", ""texture"": ""Crispy"", ""brandName"": ""Cornitos"", ""netWeight"": ""980 Grams"", ""packetSize"": ""Family Pack"", ""properties"": [""❌ real image"", ""❌ resealable""], ""productType"": ""Chips"", ""seasonalUse"": ""All Year"", ""packQuantity"": ""14 Each"", ""priceSegment"": ""Affordable"", ""certification"": null, ""keyIngredient"": ""Corn"", ""mainIngredient"": ""Corn"", ""marketingClaim"": ""Baked Fried"", ""packagingShape"": ""Bag"", ""specialFeature"": null, ""applicationMethod"": ""Ready to Eat"", ""packagingMaterial"": ""Plastic"", ""targetDemographic"": ""General""}",Sweets/Snacks,lime and mint nacho crisps x baked fried chips,lime and mint nacho crisps x baked fried chips | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,62
04bbd875-8e8f-4dbe-97df-c47e38e96498,CORNITOS Veggie Nachos Combo BAKED AND FRIED CORN CHIPS 260 Grams,"{""tags"": [""Cornitos"", ""Nachos"", ""Veggie"", ""Baked"", ""Fried"", ""Healthy"", ""Snack""], ""origin"": ""India"", ""flavour"": ""Veggie"", ""texture"": ""Crispy"", ""brandName"": ""Cornitos"", ""netWeight"": ""260 g"", ""promotion"": ""Power of 3: Beetroot, Spinach, Melange"", ""packetSize"": ""Multi-Use"", ""properties"": [""❌ resealability""], ""productType"": ""Chips"", ""seasonalUse"": ""N/A"", ""dietaryClaim"": ""Vegetarian"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""certification"": ""FSSAI"", ""keyIngredient"": ""Corn"", ""packagingShape"": ""Rectangular"", ""specialFeature"": ""Baked and Fried"", ""applicationMethod"": ""Snack"", ""packagingMaterial"": ""Plastic"", ""targetDemographic"": ""All Ages""}",Sweets/Snacks,veggie nachos combo baked and fried chips rams,veggie nachos combo baked and fried chips rams | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,-1
060a7e7a-a771-4dcc-b1c6-b3146d55a1ba,CORNITOS SLICED JALAPENOS RETAIL JAR PEPPER Bottles Jars 180 Grams,"{""form"": ""N/A"", ""tags"": [""jalapenos"", ""pickled"", ""spicy"", ""cornitos""], ""brand"": ""CORNITOS"", ""flavour"": ""Hot"", ""jarSize"": ""370ml"", ""texture"": ""Crispy"", ""packSize"": ""N/A"", ""netWeight"": ""180 Grams"", ""shelfLife"": ""N/A"", ""packetSize"": ""Single-Use"", ""properties"": [""gluten free"", ""vegan friendly""], ""spiceLevel"": ""Medium"", ""ingredients"": ""Jalapeno Peppers, Vinegar, Salt"", ""productType"": ""Sliced Jalapenos"", ""priceSegment"": ""Affordable"", ""certification"": ""FSSAI Approved"", ""countryOfOrigin"": ""India"", ""recommendedUses"": ""Tacos, Burgers, Salads"", ""dietaryInformation"": ""N/A"", ""servingSuggestions"": ""N/A"", ""storageInstructions"": ""Store in a cool, dry place""}",Prepared/Preserved Foods,sliced jalapenos retail pepper bottles jars,sliced jalapenos retail pepper bottles jars | prepared preserved foods,Cornitos,"Prepared, Preserved Foods",Prepared,0
