brandSKUId,label,facets_jsonb,categoryLabel,normalized_name,core_identity,brand_extracted,categories_parsed,primary_category,cluster_id
0047a5ab-5b95-4996-8557-d8fac814279b,"Haldiram - Kaju Katli, 500 Gram","{""tags"": [""Haldiram"", ""Kaju Katli"", ""Sweets"", ""Indian Desserts"", ""Cashew""], ""color"": ""White"", ""scent"": ""Nutty"", ""shape"": ""Square"", ""flavour"": null, ""texture"": ""Soft"", ""brandName"": ""Haldiram"", ""netWeight"": ""500 g"", ""expiryDate"": ""6 months from manufacturing"", ""packetSize"": ""Multi-Use"", ""productType"": ""Kaju Katli"", ""seasonalUse"": ""Festive"", ""allergenInfo"": ""Contains nuts"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Premium"", ""certification"": ""FSSAI"", ""keyIngredient"": ""Cashew"", ""specialFeature"": null, ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Ready to Eat"", ""servingSuggestion"": ""Can be served as dessert"", ""targetDemographic"": ""General"", ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,kaju katli,kaju katli | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,365
00aae708-e078-4bf1-ac43-2bd999c44c18,"Haldiram - Matka Jhatka Masala Chaas, 180 ml","{""tags"": [""Haldiram"", ""Chaas"", ""Masala"", ""Dairy"", ""Ready to Drink""], ""scent"": ""Spicy"", ""fatType"": null, ""texture"": ""Liquid"", ""brandName"": ""Haldiram's"", ""milkSource"": null, ""packetSize"": ""Single-Use"", ""properties"": [""❌ organic"", ""❌ has added sugar""], ""netQuantity"": ""180 ml"", ""productType"": ""Chaas"", ""seasonalUse"": ""All Year"", ""priceSegment"": ""Affordable"", ""packagingType"": ""Bottle"", ""certifications"": null, ""culturalOrigin"": ""Indian"", ""milkProcessing"": null, ""multiPackCount"": null, ""flavorOrVariant"": ""Masala"", ""specialFeatures"": ""Spiced Flavor"", ""applicationMethod"": ""Ready to Drink"", ""dietaryPreference"": null, ""impactedAllergens"": null, ""servingSuggestion"": ""Chilled"", ""targetDemographic"": ""General""}",Milk and Dairy Products,matka jhatka masala chaas,matka jhatka masala chaas | milk and dairy products,Haldiram's,Milk and Dairy Products,Milk and Dairy Products,-1
00d80a37-cc09-4469-9f66-f90f2276cae9,"Haldiram - Cookie Heaven Delightful Moments, 200 Gram","{""tags"": [""Haldiram"", ""Cookies"", ""Biscuits"", ""Snacks"", ""Sweet Treats""], ""addIn"": ""N/A"", ""color"": ""Pastel Green"", ""scent"": ""Sweet"", ""flavor"": ""N/A"", ""weight"": ""200 g"", ""texture"": ""Crunchy"", ""brandName"": ""Haldiram"", ""brandClaim"": ""Quality Product"", ""packetSize"": ""Single-Use"", ""properties"": [""❌ resealability"", ""visible nutrition facts""], ""biscuitType"": ""N/A"", ""seasonalUse"": ""N/A"", ""servingSize"": ""30 g"", ""priceSegment"": ""Affordable"", ""specialClaim"": ""N/A"", ""certifications"": ""N/A"", ""mainIngredient"": ""N/A"", ""packagingShape"": ""Box"", ""nutritionFeature"": ""N/A"", ""applicationMethod"": ""Ready to Eat"", ""packagingMaterial"": ""Cardboard"", ""targetDemographic"": ""General Audience""}",Biscuits,cookie heaven delightful moments,cookie heaven delightful moments | biscuits,Haldiram,Biscuits,Biscuits,191
00dc5163-1fd1-4bfd-9740-484f754e3501,"Haldiram - Roll Poll Wafer Roll Red Velvet, 5 x 40 Pcs Jar","{""tags"": [""wafer rolls"", ""snack"", ""Haldiram"", ""red velvet"", ""confectionery""], ""color"": ""Red and White"", ""scent"": ""Sweet"", ""shape"": ""Roll"", ""texture"": ""Crispy"", ""mainType"": ""Wafer"", ""brandName"": ""Haldiram"", ""netLitres"": null, ""netVolume"": null, ""netWeight"": null, ""unitCount"": ""Pack of 200"", ""packetSize"": ""Multi-Use"", ""seasonalUse"": ""All Year"", ""occasionType"": null, ""priceSegment"": ""Affordable"", ""cocoaPercentage"": null, ""applicationMethod"": ""Snack"", ""countriesOfOrigin"": ""India"", ""packagingMaterial"": ""Tin"", ""servingSuggestion"": ""Solo Snack"", ""specialAttributes"": null, ""targetDemographic"": ""All Ages"", ""flavourOrIngredient"": ""Red Velvet"", ""storageInstructions"": ""Cool and Dry Place""}",Confectionery/Chocolates,roll poll wafer roll red velvet x pcs,roll poll wafer roll red velvet x pcs | confectionery chocolates,Haldiram,"Confectionery, Chocolates",Confectionery,6
00f315e7-189d-4d1f-a23e-fadba259bea2,"Haldiram - On The Go Combo, 276.5 Gram","{""tags"": [""snack"", ""crispy"", ""spicy"", ""Haldiram"", ""Indian snacks""], ""scent"": ""Savory"", ""flavour"": ""Spicy"", ""texture"": ""Crispy"", ""brandName"": ""Haldiram"", ""netWeight"": ""276.5 g"", ""packetSize"": ""Multi-Use"", ""productType"": ""Chips"", ""seasonalUse"": ""N/A"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""Fried"", ""keyIngredient"": ""Potato"", ""certifications"": ""Quality Assured"", ""specialFeature"": ""N/A"", ""countryOfOrigin"": ""India"", ""nutritionalInfo"": ""Contains sodium"", ""applicationMethod"": ""Snack"", ""servingSuggestion"": ""Ideal with beverages"", ""targetDemographic"": ""All Ages"", ""dietaryRestrictions"": ""N/A"", ""storageInstructions"": ""Keep in a cool, dry place""}",Sweets/Snacks,on the go combo,on the go combo | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,-1
00fbfd04-6c1a-424e-8091-6de9e92ff5ec,"Haldiram - Garlic Bhakarwadi, 400 Gram","{""tags"": [""Haldiram"", ""Garlic Bhakarwadi"", ""Savoury Snack"", ""Tea Time"", ""Crispy""], ""flavour"": ""Garlic"", ""brandName"": ""Haldiram"", ""netWeight"": ""400 g"", ""packetSize"": ""Multi-Use"", ""productType"": ""N/A"", ""seasonalUse"": ""All Seasons"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""N/A"", ""packagingType"": ""Box"", ""certifications"": ""Recyclable"", ""mainIngredient"": ""N/A"", ""marketingClaim"": ""Taste of Tradition"", ""productTexture"": ""Crispy"", ""specialFeature"": ""N/A"", ""countryOfOrigin"": ""N/A"", ""productCategory"": ""Savoury Snack"", ""additionalFeature"": ""Tea Time Snack"", ""applicationMethod"": ""Ready to Eat"", ""dietaryPreference"": ""N/A"", ""packagingMaterial"": ""Cardboard"", ""targetDemographic"": ""Adults""}",Sweets/Snacks,garlic bhakarwadi,garlic bhakarwadi | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,255
010ea999-3cc8-4d33-8a15-4afa17bf3c46,"Haldiram - Lite Roasted Multigrain Mixture, 150 Gram","{""tags"": [""Haldiram"", ""Roasted Snacks"", ""Healthy Snack"", ""Light Snack""], ""scent"": ""Mild"", ""flavour"": ""N/A"", ""texture"": ""Crunchy"", ""brandName"": ""HALDIRAM"", ""netVolume"": ""N/A"", ""netWeight"": ""150 Grams"", ""snackForm"": ""Mixture"", ""packetSize"": ""Single-Use"", ""specialTag"": ""Roasted"", ""ingredients"": ""Multigrain"", ""seasonalUse"": ""All Year"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""Roasted"", ""countUnitEach"": ""1 Each"", ""packagingType"": ""Bag"", ""calorieContent"": ""N/A"", ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Snack"", ""servingSuggestion"": ""As a snack or with tea"", ""targetDemographic"": ""General"", ""dietaryInformation"": ""N/A"", ""allergenInformation"": ""May contain nuts"", ""storageInstructions"": ""Keep in a cool, dry place""}",Sweets/Snacks,lite roasted multigrain mixture,lite roasted multigrain mixture | sweets snacks,HALDIRAM,"Sweets, Snacks",Sweets,158
012400b1-70d7-4e4f-982f-974964907c54,"Haldiram - Fatafat Bhel, 150 Gram","{""tags"": [""Crunchy Snack"", ""Vegetarian"", ""Indian Food"", ""Street Style""], ""scent"": ""Savory"", ""flavour"": null, ""texture"": ""Crunchy"", ""brandName"": ""HALDIRAM"", ""netVolume"": null, ""netWeight"": ""150 Grams"", ""snackForm"": ""Mixture"", ""packetSize"": ""Single-Use"", ""properties"": [""❌ resealability""], ""specialTag"": null, ""cuisineType"": ""Indian"", ""productType"": ""Snack Food"", ""seasonalUse"": ""Year-Round"", ""priceSegment"": ""Affordable"", ""countUnitEach"": null, ""certifications"": ""N/A"", ""packagingShape"": ""Flat Bag"", ""marketingClaims"": ""Street Style"", ""prominentColors"": ""Green, Yellow, Red"", ""applicationMethod"": ""Ready to Eat"", ""dietaryPreference"": ""Vegetarian"", ""packagingMaterial"": ""Plastic"", ""servingSuggestion"": ""Snack"", ""targetDemographic"": ""General Audience"", ""ingredientHighlight"": ""Peanuts""}",Crunchy Snack,fatafat bhel,fatafat bhel | crunchy snack,HALDIRAM,Crunchy Snack,Crunchy Snack,61
0197de91-8ad2-431a-8ad0-bd3d71d7e79d,"Haldiram - Boondi, 85 Gram","{""tags"": [""Haldiram"", ""Boondi"", ""Snack"", ""Masala"", ""Crunchy Snack""], ""scent"": ""Savory"", ""flavour"": ""Boondi Masala"", ""texture"": ""Crunchy"", ""brandName"": ""HALDIRAM"", ""netVolume"": ""N/A"", ""netWeight"": ""85 Grams"", ""snackForm"": ""N/A"", ""packetSize"": ""Single-Use"", ""specialTag"": ""N/A"", ""weightUnit"": ""Grams"", ""ingredients"": ""N/A"", ""seasonalUse"": ""Festival"", ""servingSize"": ""N/A"", ""priceSegment"": ""Affordable"", ""countUnitEach"": ""N/A"", ""storageMethod"": ""Cool and dry"", ""certifications"": ""ISO"", ""expirationDate"": ""N/A"", ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Snack"", ""dietaryPreference"": ""Vegetarian"", ""servingSuggestion"": ""On its own"", ""targetDemographic"": ""General"", ""nutritionalInformation"": ""N/A""}",Sweets/Snacks,boondi,boondi | sweets snacks,HALDIRAM,"Sweets, Snacks",Sweets,289
01d51c3c-11f6-485e-a6df-6f02156380a4,"Haldiram - Meethe Pal, 1.5 Kg","{""tags"": [""Haldiram"", ""Sweets"", ""Indian Sweets"", ""Festival Treats"", ""Dessert""], ""scent"": ""Sweet"", ""flavour"": null, ""texture"": ""Soft"", ""brandName"": ""Haldiram"", ""netWeight"": ""1.5 Kg"", ""packetSize"": ""Multi-Use"", ""productType"": ""Meethe Pal"", ""seasonalUse"": ""Festivals"", ""allergenInfo"": ""May contain nuts"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Premium"", ""certification"": ""Hygienically Packed"", ""keyIngredient"": null, ""packagingType"": ""Box"", ""resealability"": ""Non-resealable"", ""specialFeature"": null, ""countryOfOrigin"": ""India"", ""nutritionalInfo"": ""High in Sugar"", ""applicationMethod"": ""Ready to Eat"", ""packagingMaterial"": ""Cardboard"", ""servingSuggestion"": ""Serve with tea or as dessert"", ""targetDemographic"": ""All Ages"", ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,meethe pal,meethe pal | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,104
029c1e7e-f847-4bc0-8014-d69104e29151,"Haldiram - Batisa Roll, 400 Gram","{""tags"": [""Haldiram"", ""Batisa Roll"", ""Sweet"", ""Cashew"", ""Affordable"", ""Indian Sweet""], ""flavour"": null, ""allergens"": ""Dry Fruits"", ""brandName"": ""Haldiram"", ""netWeight"": ""400 g"", ""shelfLife"": ""6 Months"", ""packetSize"": ""Multi-Use"", ""properties"": [""❌ vegan"", ""vegetarian"", ""contains nuts"", ""fssai certified""], ""productType"": ""Batisa Roll"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""energyPer100g"": ""472 kcal"", ""keyIngredient"": ""Cashew"", ""specialFeature"": ""Freshly Packed"", ""countryOfOrigin"": ""India"", ""storageCondition"": ""Cool and Dry Place"", ""packagingMaterial"": ""Box"", ""presetServingSize"": ""100 g""}",Sweets/Snacks,batisa roll,batisa roll | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,60
